"doctor","hospital","patient_count","medical_condition_count","total_billing_amount","average_billing_amount","average_patient_age","average_length_of_stay","first_admission_date","latest_admission_date"
Anna Allen,Montgomery Ltd,1,1,13662.20,13662.15,59,16,2021-07-20,2021-07-20
Anna Arnold,Finley-Snyder,1,1,7826.55,7826.55,22,24,2023-09-28,2023-09-28
Anna Atkinson,"Smith Anderson and Hunt,",1,1,44148.50,44148.54,36,10,2019-05-19,2019-05-19
Anna Avila,"Frazier Soto and Hansen,",1,1,34853.60,34853.56,78,10,2022-07-03,2022-07-03
Anna Barr,Johnson Group,2,1,96804.40,48402.19,49,1,2022-09-10,2022-09-10
Anna Bell,Cobb-Rivera,1,1,50239.30,50239.32,65,15,2022-10-06,2022-10-06
Anna Bowman,Gillespie LLC,1,1,32073.50,32073.50,37,8,2019-10-01,2019-10-01
Anna Bradshaw,Long-Huerta,1,1,25491.70,25491.72,70,18,2023-12-27,2023-12-27
Anna Brown,Haynes-Thompson,1,1,4445.25,4445.25,37,22,2023-09-26,2023-09-26
Anna Brown,"Mack Logan and Potter,",2,1,97056.50,48528.25,44,13,2020-10-06,2020-10-06
Anna Brown,"Peters, and Williams Cox",1,1,39370.10,39370.15,18,30,2023-05-31,2023-05-31
Anna Brown,PLC Goodman,1,1,17703.70,17703.65,24,20,2023-12-26,2023-12-26
Anna Brown,PLC Le,1,1,29394.50,29394.53,75,2,2020-12-21,2020-12-21
Anna Brown,Ponce-Lutz,1,1,40449.70,40449.71,63,17,2020-01-28,2020-01-28
Anna Brown,Smith-Molina,1,1,22393.60,22393.61,81,9,2022-10-06,2022-10-06
Anna Buckley,"and Thompson Moore, Torres",1,1,41443.70,41443.68,31,1,2023-02-25,2023-02-25
Anna Caldwell,Inc Harper,1,1,15492.50,15492.50,74,18,2019-08-11,2019-08-11
Anna Cantu,Perez and Sons,1,1,37862.20,37862.16,32,2,2021-12-28,2021-12-28
Anna Chang,"Benitez, Gutierrez Schaefer and",1,1,35908.00,35907.99,33,10,2019-05-17,2019-05-17
Anna Chapman,Smith-Prince,1,1,33211.70,33211.68,37,9,2022-11-12,2022-11-12
Anna Chavez,"Thomas, Andrews and Khan",1,1,2949.73,2949.73,21,12,2022-12-17,2022-12-17
Anna Cooper,"and Quinn Robinson, Warner",1,1,34889.70,34889.73,21,4,2024-03-14,2024-03-14
Anna Crane,Ltd Peterson,1,1,44981.20,44981.17,63,23,2020-08-23,2020-08-23
Anna Cruz,Smith LLC,1,1,15666.40,15666.44,41,26,2021-12-13,2021-12-13
Anna Cunningham,"and Smith, Walker Hernandez",1,1,15668.30,15668.28,42,26,2020-09-06,2020-09-06
Anna Daniels MD,Knapp-Shah,1,1,14340.90,14340.92,77,21,2021-10-30,2021-10-30
Anna Davila,"and Bennett Holland Davis,",1,1,9447.01,9447.01,82,4,2019-05-19,2019-05-19
Anna Edwards,"Flynn, and Harris Mullins",2,1,66377.90,33188.93,66,15,2019-11-10,2019-11-10
Anna Edwards,Thornton-Conley,1,1,21813.00,21812.99,59,11,2022-11-14,2022-11-14
Anna Ellison,Blair-Edwards,1,1,16604.60,16604.64,25,21,2020-01-29,2020-01-29
Anna Espinoza,Group Hill,1,1,22325.00,22325.04,32,13,2022-07-28,2022-07-28
Anna Evans,"Perry, Huerta Shea and",1,1,6291.76,6291.76,43,12,2023-12-10,2023-12-10
Anna Fleming,"Fisher, Ruiz and Turner",1,1,32192.70,32192.68,33,3,2020-05-15,2020-05-15
Anna Flores,"and Garrett Warren Guzman,",1,1,11032.00,11031.98,75,20,2021-08-28,2021-08-28
Anna Friedman,"and Finley Fields Alvarez,",1,1,21067.30,21067.28,65,18,2022-04-05,2022-04-05
Anna Gallagher,"Williams, Lopez David and",1,1,8982.43,8982.43,47,2,2021-09-23,2021-09-23
Anna Garcia,"Rich and Leon, Russell",1,1,25534.50,25534.52,50,2,2021-05-03,2021-05-03
Anna Garrett,"and Anderson Flowers, Tucker",1,1,6596.19,6596.19,30,22,2020-08-19,2020-08-19
Anna Gates,Ward-Cox,1,1,38287.00,38286.96,77,2,2020-07-15,2020-07-15
Anna Gonzalez,Group Atkinson,1,1,33561.60,33561.63,43,5,2020-07-31,2020-07-31
Anna Gordon,Rubio-Brown,1,1,19931.50,19931.49,65,2,2021-03-06,2021-03-06
Anna Gould,and Sons Lin,1,1,4906.79,4906.79,57,14,2021-12-18,2021-12-18
Anna Graham,"and Singleton Thomas, Wilson",1,1,25116.20,25116.24,28,23,2022-06-08,2022-06-08
Anna Hall,Lawson-Randolph,1,1,32879.80,32879.80,54,2,2022-03-02,2022-03-02
Anna Harding,"and Howard King, Martinez",1,1,1547.89,1547.89,69,8,2023-03-16,2023-03-16
Anna Hartman,"Smith, and Smith Butler",1,1,16821.20,16821.24,63,8,2023-11-01,2023-11-01
Anna Hernandez,Bennett-Sanders,1,1,10395.60,10395.57,52,20,2023-10-13,2023-10-13
Anna Hill,LLC Taylor,1,1,40603.10,40603.10,21,22,2022-06-27,2022-06-27
Anna Horton,Ltd Gray,2,1,54325.10,27162.57,82,12,2022-01-05,2022-01-05
Anna Howard,"Oliver, and Bradshaw Hall",1,1,34117.50,34117.47,27,22,2021-04-12,2021-04-12
Anna Humphrey,"Brennan Poole and Smith,",1,1,8476.55,8476.55,45,11,2020-03-07,2020-03-07
Anna Jackson,and Perkins Sons,1,1,32316.10,32316.06,20,6,2021-09-13,2021-09-13
Anna Jimenez,Sanders Inc,1,1,45912.40,45912.38,49,20,2023-07-18,2023-07-18
Anna Johnson,"Brown, and Gardner Townsend",1,1,21897.00,21897.02,39,10,2024-01-01,2024-01-01
Anna Johnson,Cobb Inc,1,1,40878.80,40878.80,36,5,2019-05-29,2019-05-29
Anna Johnson,Henry-Black,1,1,4329.64,4329.64,42,8,2021-01-07,2021-01-07
Anna Jones,"Dalton Hall, Williams and",1,1,5327.03,5327.03,43,1,2022-03-21,2022-03-21
Anna Jones,Harmon and Sons,2,1,88187.00,44093.52,23,19,2020-09-30,2020-09-30
Anna Jones,LLC Stewart,1,1,4113.86,4113.86,48,29,2020-10-15,2020-10-15
Anna Keith,"and Pearson Mullins, Kennedy",1,1,3458.65,3458.65,60,10,2021-08-02,2021-08-02
Anna Kennedy,Mullins Group,1,1,45955.30,45955.34,65,22,2021-01-20,2021-01-20
Anna Lam,"Hunter and King Parker,",1,1,46481.50,46481.52,60,25,2023-12-05,2023-12-05
Anna Lee,"Curtis, Jones and Mcgee",1,1,41516.80,41516.83,76,21,2022-08-23,2022-08-23
Anna Lindsey,"Parsons Harvey, Jimenez and",1,1,43144.80,43144.75,82,26,2021-09-14,2021-09-14
Anna Martinez,Cooper-Gross,1,1,8175.39,8175.39,80,30,2020-07-26,2020-07-26
Anna Matthews,"Carter and Cole, Gutierrez",1,1,11350.90,11350.94,84,4,2023-12-05,2023-12-05
Anna Mcintosh,Perez-Young,1,1,21331.40,21331.42,57,20,2020-07-21,2020-07-21
Anna Melton,and Lee Sons,1,1,26036.50,26036.51,54,13,2024-02-09,2024-02-09
Anna Mendoza,"Mckay Cooke, and Calderon",1,1,4131.88,4131.88,52,28,2022-04-04,2022-04-04
Anna Meza,"Green Mills, and Mays",1,1,48332.40,48332.36,50,8,2024-03-04,2024-03-04
Anna Meza,LLC Evans,1,1,17651.00,17650.99,62,3,2020-10-17,2020-10-17
Anna Miller,Gonzales-Ramirez,1,1,44275.20,44275.20,32,30,2023-05-27,2023-05-27
Anna Molina,Thomas-Wallace,1,1,47330.20,47330.18,38,9,2022-02-07,2022-02-07
Anna Moody,"and Blackburn Huff, Rios",1,1,38860.60,38860.56,76,15,2019-09-29,2019-09-29
Anna Moore,"Lopez Wright Joseph, and",1,1,43154.40,43154.36,34,6,2019-11-03,2019-11-03
Anna Murray,Inc Jones,1,1,42934.30,42934.29,35,15,2021-12-04,2021-12-04
Anna Nicholson,Ali-Marsh,2,1,21460.90,10730.44,26,28,2022-05-17,2022-05-17
Anna Owen,Briggs-White,1,1,34186.00,34186.04,62,25,2020-01-13,2020-01-13
Anna Palmer,Delgado-Taylor,1,1,12157.50,12157.55,43,27,2021-10-25,2021-10-25
Anna Parsons,Carter-Bowen,1,1,24210.20,24210.23,84,3,2023-01-13,2023-01-13
Anna Perez,"James King and Daugherty,",2,1,57716.10,28858.05,53,1,2021-03-12,2021-03-12
Anna Perez,Mclaughlin-Ford,1,1,24592.70,24592.71,40,18,2019-11-01,2019-11-01
Anna Reyes,"Nunez Cisneros and Cook,",1,1,42152.80,42152.82,69,30,2022-05-09,2022-05-09
Anna Rhodes,Austin-Lin,1,1,14708.70,14708.72,76,12,2019-05-30,2019-05-30
Anna Robinson,Smith-Perry,1,1,2062.31,2062.31,79,23,2020-12-31,2020-12-31
Anna Rodriguez,"Navarro Nguyen, Lopez and",1,1,49828.80,49828.83,39,1,2021-01-11,2021-01-11
Anna Rodriguez,Wright-Cordova,1,1,29863.70,29863.74,71,17,2021-04-10,2021-04-10
Anna Rose,Compton-Fields,1,1,5720.84,5720.84,79,16,2024-02-24,2024-02-24
Anna Schmidt,"Nielsen and Taylor, Price",1,1,23794.60,23794.63,71,16,2023-09-17,2023-09-17
Anna Serrano,Gonzales and Sons,1,1,19824.80,19824.79,46,11,2021-08-16,2021-08-16
Anna Shepherd,Inc Martin,2,1,79634.80,39817.40,24,3,2021-02-16,2021-02-16
Anna Silva,"Beltran Mitchell, Brown and",1,1,22128.70,22128.69,84,29,2023-04-08,2023-04-08
Anna Simon,Thompson Sons and,1,1,27594.30,27594.31,50,28,2020-08-23,2020-08-23
Anna Smith,"and Barber Johnson Rowe,",1,1,21802.30,21802.26,68,28,2023-04-11,2023-04-11
Anna Smith,Andrews-Carter,1,1,7918.53,7918.53,82,26,2020-10-30,2020-10-30
Anna Sosa,Smith-Rollins,1,1,48322.10,48322.10,23,14,2019-07-23,2019-07-23
Anna Stephens,"Reyes, and Marshall Sosa",1,1,37548.30,37548.31,57,27,2022-08-12,2022-08-12
Anna Strong,Romero-Larson,1,1,48611.60,48611.55,61,4,2021-07-22,2021-07-22
Anna Summers,Ford PLC,1,1,37572.40,37572.41,77,24,2020-01-16,2020-01-16
Anna Swanson,"and Barrett, Johnson Estes",1,1,31962.20,31962.23,32,11,2021-10-11,2021-10-11
Anna Tanner,Martinez Ltd,1,1,1000.35,1000.35,39,28,2022-04-05,2022-04-05
Anna Taylor,Lopez Ltd,1,1,13672.70,13672.73,21,16,2023-05-19,2023-05-19
Anna Thomas,PLC Osborne,2,1,90145.80,45072.89,44,2,2022-08-31,2022-08-31
Anna Thompson,"Martin Smith, and Beard",1,1,12963.80,12963.80,53,11,2021-08-01,2021-08-01
Anna Torres,Sanders-Morrow,2,1,6971.08,3485.54,51,7,2020-01-04,2020-01-04
Anna Tucker,"and Benson Allen Moran,",2,1,34822.70,17411.37,64,24,2019-05-19,2019-05-19
Anna Valdez,"Christensen and Jones, Cooper",1,1,1386.46,1386.46,57,27,2020-04-09,2020-04-09
Anna Vazquez,Patterson Ltd,1,1,8837.36,8837.36,22,10,2020-01-22,2020-01-22
Anna Wagner,Foster Inc,1,1,17936.20,17936.23,41,11,2023-10-30,2023-10-30
Anna Ward,"and Short Davis, Romero",1,1,50118.10,50118.13,26,29,2023-11-28,2023-11-28
Anna Washington,Montoya Inc,2,1,30140.70,15070.35,81,18,2022-05-08,2022-05-08
Anna Watson,PLC Bartlett,1,1,4695.54,4695.54,47,14,2021-03-08,2021-03-08
Anna Webb,Goodwin-Lam,1,1,42135.20,42135.23,63,13,2023-11-10,2023-11-10
Anna Weber,"Pitts, and Rogers Jenkins",1,1,20678.50,20678.48,60,12,2023-06-14,2023-06-14
Anna Wright,Anderson-White,1,1,41704.20,41704.17,30,7,2019-09-20,2019-09-20
Anna Wu,Ltd Davidson,1,1,19839.60,19839.64,79,13,2021-01-08,2021-01-08
Anne Adams,Davidson Group,1,1,22880.50,22880.51,78,26,2019-10-22,2019-10-22
Anne Alvarado,Wong-Carpenter,1,1,13510.50,13510.50,81,3,2022-03-21,2022-03-21
Anne Alvarez,Black and Sons,1,1,34934.90,34934.94,48,3,2020-03-11,2020-03-11
Anne Arnold,Compton PLC,1,1,20328.70,20328.68,33,19,2020-04-20,2020-04-20
Anne Castro,Garza-Lucas,1,1,3043.59,3043.59,36,27,2023-07-02,2023-07-02
Anne Clayton,Kemp Sons and,1,1,47716.90,47716.94,49,15,2022-03-08,2022-03-08
Anne Cline,Preston-Jacobson,1,1,17262.40,17262.40,64,19,2021-01-21,2021-01-21
Anne Collins,and Hill Sons,1,1,16307.40,16307.44,70,1,2022-03-28,2022-03-28
Anne Franco,Sons Hawkins and,1,1,38925.30,38925.33,85,20,2022-01-14,2022-01-14
Anne Garcia,Smith Inc,1,1,30707.80,30707.81,24,30,2024-03-14,2024-03-14
Anne Greene,Inc Aguirre,1,1,3399.69,3399.69,50,12,2022-02-05,2022-02-05
Anne Hansen,Perry Sons and,1,1,6310.39,6310.39,19,23,2023-07-19,2023-07-19
Anne Hughes,"and Price Barnes, Smith",1,1,8904.50,8904.50,53,5,2022-10-28,2022-10-28
Anne Jacobs,Farley and Sons,1,1,30656.10,30656.10,79,13,2022-12-26,2022-12-26
Anne Johnson,"Carson, Jordan Hines and",1,1,27265.70,27265.73,25,26,2021-08-19,2021-08-19
Anne Jones,Group Wilkinson,1,1,20973.90,20973.90,45,13,2021-03-18,2021-03-18
Anne Lee,Ltd Thomas,1,1,23904.40,23904.41,42,26,2022-02-03,2022-02-03
Anne Lopez,"Gallagher, and Ward Thomas",1,1,40827.30,40827.28,20,3,2022-11-30,2022-11-30
Anne Malone,"Petersen and Weaver, Smith",1,1,33543.50,33543.53,59,12,2023-03-13,2023-03-13
Anne Martin,"Moreno Horton and Vasquez,",1,1,29080.90,29080.88,18,14,2019-10-01,2019-10-01
Anne Meadows,Murphy-Garcia,1,1,48445.10,48445.05,28,15,2023-08-20,2023-08-20
Anne Miller,"Bailey Ingram, Tanner and",1,1,46678.70,46678.72,46,28,2019-11-26,2019-11-26
Anne Miller,Jones-Salas,1,1,46607.80,46607.76,72,13,2021-01-31,2021-01-31
Anne Mitchell,"and Reeves Adkins, King",1,1,24177.90,24177.88,74,13,2022-01-07,2022-01-07
Anne Moore,"Ramos, Wilson and Evans",1,1,22947.20,22947.21,77,7,2023-09-02,2023-09-02
Anne Moreno,Hardy-Tucker,1,1,26033.20,26033.20,37,2,2020-07-16,2020-07-16
Anne Morris,PLC Harrison,1,1,43100.80,43100.75,66,18,2020-07-02,2020-07-02
Anne Murphy,Jordan-Campbell,1,1,39231.20,39231.23,76,21,2020-11-21,2020-11-21
Anne Nichols,Phillips Ltd,1,1,48566.30,48566.27,20,11,2020-01-17,2020-01-17
Anne Park,Inc Erickson,1,1,8525.84,8525.84,29,14,2022-03-06,2022-03-06
Anne Perez,"Berry, Mason Aguirre and",1,1,3553.55,3553.55,45,14,2020-01-08,2020-01-08
Anne Perry,Castillo LLC,1,1,40384.70,40384.72,29,25,2023-03-22,2023-03-22
Anne Petersen,"Hampton, Henry and Holden",1,1,9481.52,9481.52,81,15,2021-06-28,2021-06-28
Anne Ray,Palmer LLC,1,1,22728.60,22728.59,58,8,2020-11-29,2020-11-29
Anne Rice,Inc Davis,1,1,15049.80,15049.85,69,5,2020-10-18,2020-10-18
Anne Smith,"and Chavez Price, Porter",1,1,27323.80,27323.82,62,28,2022-03-03,2022-03-03
Anne Smith,"and Ward Cooper, Wright",2,1,11698.50,5849.25,52,14,2022-05-24,2022-05-24
Anne Taylor,"Trevino Robles Lane, and",1,1,33853.10,33853.13,79,16,2023-03-07,2023-03-07
Anne Thomas,Inc Martinez,1,1,41115.80,41115.81,65,1,2022-05-01,2022-05-01
Anne Williams,and Sons Torres,2,1,10705.90,5352.93,22,9,2023-08-01,2023-08-01
Annette Bowman,Inc Sanders,2,1,37229.40,18614.72,40,4,2021-03-17,2021-03-17
Annette Brewer,"Thornton, Richardson and Nelson",1,1,7653.18,7653.18,47,30,2022-08-12,2022-08-12
Annette Bryant,Mcclain-Huang,1,1,36676.80,36676.78,76,26,2023-11-23,2023-11-23
Annette Campbell,Ltd Lynch,1,1,44647.90,44647.91,62,22,2021-01-01,2021-01-01
Annette Cox,Sons Thompson and,1,1,43935.20,43935.16,47,1,2022-01-14,2022-01-14
Annette Craig,"Fisher Stevens, and Bailey",1,1,46304.10,46304.14,31,17,2020-02-18,2020-02-18
Annette Dean,"Perry, Bell Harris and",1,1,3476.97,3476.97,83,18,2022-05-11,2022-05-11
Annette Douglas,Martinez-Walsh,1,1,4455.21,4455.21,41,14,2023-03-07,2023-03-07
Annette Duncan,Villanueva-Kaufman,1,1,40177.60,40177.65,78,5,2019-11-03,2019-11-03
Annette Espinoza,"Elliott and Evans Stevens,",1,1,38260.00,38259.97,81,10,2021-04-11,2021-04-11
Annette Francis,"Armstrong, Johnson and Dyer",1,1,36080.70,36080.69,40,16,2022-04-11,2022-04-11
Annette Garcia,Inc Ali,1,1,574.51,574.51,55,13,2019-05-11,2019-05-11
Annette Gomez,"Boone Allen, Ortiz and",2,1,30019.10,15009.54,86,30,2020-02-15,2020-02-15
Annette Gould,Jackson-Johnson,1,1,48921.30,48921.29,74,13,2022-04-11,2022-04-11
Annette Green,Brock-Roberson,1,1,24753.20,24753.22,76,28,2020-11-10,2020-11-10
Annette Gutierrez,Jenkins-Watts,2,1,30455.60,15227.82,50,18,2021-11-10,2021-11-10
Annette Guzman,Inc Robinson,1,1,36397.40,36397.39,59,6,2024-04-20,2024-04-20
Annette Hall,Macias LLC,1,1,22591.50,22591.54,79,11,2021-01-02,2021-01-02
Annette Heath,"and Rios, Jones Wilson",1,1,13882.50,13882.45,75,9,2019-09-02,2019-09-02
Annette Hoffman,"and Tyler Nelson, Rodriguez",1,1,7086.19,7086.19,70,1,2020-02-17,2020-02-17
Annette Holland,Miller-Martinez,2,1,76555.60,38277.79,44,21,2019-10-15,2019-10-15
Annette Holt,"Dixon Smith, and Navarro",1,1,34688.90,34688.85,20,9,2019-05-24,2019-05-24
Annette Johnson,LLC Armstrong,1,1,7068.44,7068.44,28,19,2023-06-06,2023-06-06
Annette Lee,"and Aguirre Smith Williams,",1,1,46024.80,46024.80,79,7,2020-11-16,2020-11-16
Annette Lyons,Burton-Howe,1,1,7271.66,7271.66,55,27,2019-07-19,2019-07-19
Annette Martin,"Nelson and Marshall Mercado,",1,1,12366.20,12366.23,43,21,2020-04-03,2020-04-03
Annette Martinez,"Smith Martinez, Munoz and",1,1,38329.80,38329.81,28,2,2020-10-10,2020-10-10
Annette Mills,"Olson and Martinez Sandoval,",1,1,17301.10,17301.05,45,9,2022-08-17,2022-08-17
Annette Moran,"Padilla Fuller, and Andrade",1,1,28911.80,28911.77,44,2,2019-12-19,2019-12-19
Annette Pace,Johnston-Lawrence,1,1,50576.90,50576.94,30,21,2020-05-15,2020-05-15
Annette Palmer,Maxwell-Grimes,1,1,18636.30,18636.34,38,16,2020-10-01,2020-10-01
Annette Parker,PLC Peterson,1,1,2957.94,2957.94,29,5,2020-05-24,2020-05-24
Annette Patterson,"Bailey and Meadows, Wheeler",1,1,9955.35,9955.35,33,12,2023-07-31,2023-07-31
Annette Pittman,"Ruiz Bates and Hernandez,",1,1,42155.20,42155.20,77,27,2021-03-16,2021-03-16
Annette Powell,"Moore and Williams Thomas,",1,1,10242.60,10242.57,39,4,2019-05-30,2019-05-30
Annette Ramirez,"Perez Jackson and Jones,",1,1,30090.30,30090.30,76,5,2021-08-18,2021-08-18
Annette Rogers,PLC Webb,1,1,22229.90,22229.91,58,27,2023-11-10,2023-11-10
Annette Rush,"and Goodman Diaz Thomas,",1,1,46647.70,46647.74,74,2,2023-08-25,2023-08-25
Annette Santana,Stephens-Diaz,1,1,14338.80,14338.83,34,28,2023-05-08,2023-05-08
Annette Schaefer,"and Webb Knapp Williams,",1,1,4439.68,4439.68,40,25,2021-12-24,2021-12-24
Annette Smith,"Bean and Morrow, Ingram",1,1,8589.48,8589.48,68,29,2024-01-29,2024-01-29
Annette Smith,"Jackson Brown Hess, and",1,1,45423.10,45423.13,40,4,2021-12-16,2021-12-16
Annette Smith,Rocha-Hendricks,1,1,38484.60,38484.59,71,1,2020-12-20,2020-12-20
Annette Smith,Thomas LLC,1,1,28573.20,28573.17,42,20,2023-12-13,2023-12-13
Annette Sparks,"Parker, Montgomery and Gibbs",1,1,35127.10,35127.14,50,12,2020-06-15,2020-06-15
Annette Suarez,Moses-Ayala,1,1,5873.86,5873.86,22,13,2021-12-22,2021-12-22
Annette Taylor,"Mcfarland and Nguyen Hall,",1,1,17637.50,17637.48,30,9,2021-11-04,2021-11-04
Annette Walters,Ryan LLC,1,1,18612.40,18612.37,61,14,2021-08-07,2021-08-07
Annette Walters,Williams Ltd,1,1,8506.40,8506.40,82,10,2020-11-25,2020-11-25
Annette Watts,"Carlson Santana, Atkins and",1,1,14683.20,14683.16,57,21,2020-06-16,2020-06-16
Annette Williams,"and Morse King Combs,",1,1,44856.90,44856.87,47,12,2020-05-17,2020-05-17
Annette Williams,"White and Smith Villegas,",1,1,20270.50,20270.53,30,12,2023-05-13,2023-05-13
Annette Woods,Glass LLC,1,1,3497.41,3497.41,78,4,2020-04-03,2020-04-03
Anthony Abbott,Patrick-Reilly,1,1,38497.20,38497.19,26,21,2020-03-19,2020-03-19
Anthony Aguilar,Stephens-Ramos,2,1,21941.20,10970.62,74,1,2020-12-26,2020-12-26
Anthony Alexander,PLC Lopez,1,1,9448.57,9448.57,72,18,2020-09-16,2020-09-16
Anthony Allen,Baker-Davis,1,1,34797.30,34797.28,42,6,2024-02-13,2024-02-13
Anthony Allen,"Santos and Blake Wood,",1,1,20548.80,20548.76,49,16,2021-01-14,2021-01-14
Anthony Alvarado,Scott-Russell,1,1,11657.30,11657.32,72,30,2023-03-25,2023-03-25
Anthony Alvarez,Sons Brown and,1,1,10758.20,10758.25,25,20,2022-09-13,2022-09-13
Anthony Anderson,"and Maxwell Herring, Chapman",2,1,80197.80,40098.91,68,16,2022-11-08,2022-11-08
Anthony Anderson,"Fischer and Sims Garcia,",1,1,38402.90,38402.94,26,26,2023-04-08,2023-04-08
Anthony Anderson,Fox-Anthony,1,1,8407.49,8407.49,34,7,2021-12-14,2021-12-14
Anthony Anderson,Long-Brown,1,1,50648.20,50648.18,54,23,2024-02-28,2024-02-28
Anthony Arellano,"Gray Jimenez, and Roberts",1,1,28613.20,28613.21,52,22,2020-03-15,2020-03-15
Anthony Arnold,"Vargas Griffin, Benitez and",1,1,25530.00,25530.04,21,16,2022-06-09,2022-06-09
Anthony Atkins,Inc Taylor,1,1,30828.60,30828.63,69,4,2019-09-22,2019-09-22
Anthony Bailey,Phillips-Lee,1,1,32733.40,32733.39,19,16,2022-06-26,2022-06-26
Anthony Baker,"and Vasquez Cox, Miller",1,1,28980.90,28980.88,42,8,2019-08-01,2019-08-01
Anthony Baker,Cummings-Stanley,2,1,55403.70,27701.84,35,24,2022-07-13,2022-07-13
Anthony Baker,Herrera-Gutierrez,1,1,22438.70,22438.66,41,26,2019-09-25,2019-09-25
Anthony Baker,Jordan-Li,1,1,33627.10,33627.10,66,28,2023-12-19,2023-12-19
Anthony Baldwin,"Howe and Parker Martinez,",1,1,26836.60,26836.61,23,1,2019-09-01,2019-09-01
Anthony Barnes,"Black Dyer, and Barnes",1,1,919.44,919.44,18,17,2021-02-08,2021-02-08
Anthony Barnes,Petersen Ltd,1,1,25749.50,25749.52,62,9,2020-08-05,2020-08-05
Anthony Bass,Ltd Salinas,1,1,28081.90,28081.94,80,20,2020-12-28,2020-12-28
Anthony Bell,Cook-Christian,1,1,26166.60,26166.55,27,24,2021-01-08,2021-01-08
Anthony Bishop,Mckee-Stevens,1,1,46763.80,46763.81,68,20,2022-04-06,2022-04-06
Anthony Black,Anderson-Chung,1,1,9142.57,9142.57,59,18,2021-01-10,2021-01-10
Anthony Blackwell,"Jennings and Peterson Pace,",1,1,44896.80,44896.79,41,16,2022-09-13,2022-09-13
Anthony Bradley,Stewart-Lane,1,1,7106.88,7106.88,27,6,2022-04-10,2022-04-10
Anthony Bray,"and Flynn Leonard, Schultz",1,1,24565.90,24565.86,75,19,2020-05-13,2020-05-13
Anthony Bray,"Hartman, Wilson and Villegas",1,1,23760.90,23760.91,70,3,2020-10-29,2020-10-29
Anthony Brooks,Pollard-Moore,1,1,31960.60,31960.62,47,20,2019-11-01,2019-11-01
Anthony Brown,Carlson-Delacruz,1,1,46268.00,46267.99,27,27,2021-11-17,2021-11-17
Anthony Brown,Hicks-Carter,1,1,3457.79,3457.79,32,28,2022-05-04,2022-05-04
Anthony Brown,Inc Juarez,1,1,4540.32,4540.32,66,1,2020-04-04,2020-04-04
Anthony Brown,"Sanchez Soto George, and",1,1,47763.50,47763.46,35,9,2021-04-22,2021-04-22
Anthony Bruce,"Smith Velez and Ochoa,",1,1,5577.97,5577.97,48,24,2019-11-01,2019-11-01
Anthony Burgess,Sons White and,1,1,45911.40,45911.39,74,2,2022-04-01,2022-04-01
Anthony Butler,Ltd Williams,1,1,15480.80,15480.79,57,9,2021-11-14,2021-11-14
Anthony Calderon,Lewis PLC,1,1,29267.80,29267.76,34,22,2022-06-25,2022-06-25
Anthony Carey,"Flores and Higgins Oneill,",1,1,30935.00,30935.00,19,10,2021-04-05,2021-04-05
Anthony Carlson,Martinez-Franklin,1,1,39480.80,39480.81,38,4,2023-05-03,2023-05-03
Anthony Carter,"and Smith Waters Stewart,",1,1,24356.90,24356.90,62,18,2019-12-19,2019-12-19
Anthony Carter MD,"Henderson and Ray, Williams",1,1,36897.50,36897.51,64,22,2022-05-25,2022-05-25
Anthony Casey,Bennett-Brown,1,1,41078.40,41078.40,49,30,2023-12-06,2023-12-06
Anthony Casey,LLC Barton,1,1,47462.60,47462.61,38,11,2022-09-04,2022-09-04
Anthony Castillo,"Fischer Carter Kennedy, and",1,1,10517.10,10517.13,63,30,2023-08-04,2023-08-04
Anthony Castillo,Johnson-Roberts,1,1,6892.12,6892.12,35,23,2021-09-11,2021-09-11
Anthony Castillo,Shannon-Hernandez,2,1,91171.70,45585.87,83,5,2019-06-18,2019-06-18
Anthony Charles,"Torres Martinez, Stewart and",1,1,40920.50,40920.48,43,18,2021-11-04,2021-11-04
Anthony Chavez,Meza Group,2,1,40427.30,20213.65,19,23,2020-09-02,2020-09-02
Anthony Choi,"Doyle, Gonzales and Benjamin",1,1,41005.70,41005.72,52,14,2020-03-07,2020-03-07
Anthony Cisneros,"King, Montgomery and Khan",1,1,38835.40,38835.36,75,4,2022-07-07,2022-07-07
Anthony Clark,"Woods Lewis Dennis, and",1,1,7163.06,7163.06,51,2,2023-08-11,2023-08-11
Anthony Cohen,"Lyons Young, Wagner and",1,1,46445.70,46445.73,64,27,2021-04-15,2021-04-15
Anthony Cole,Greene-Ward,2,1,79734.70,39867.33,55,4,2020-01-04,2020-01-04
Anthony Collins,"and Brown Harper Russo,",2,1,60016.50,30008.27,33,2,2023-09-19,2023-09-19
Anthony Collins,Group Gutierrez,1,1,25077.40,25077.37,24,18,2021-08-07,2021-08-07
Anthony Cortez,"Jones, Myers and Baker",1,1,7388.78,7388.78,70,26,2020-11-08,2020-11-08
Anthony Crane,Humphrey Ltd,1,1,13205.40,13205.36,21,15,2022-07-26,2022-07-26
Anthony Cruz,"and Rich Washington, Mcguire",1,1,13296.90,13296.89,29,29,2020-02-13,2020-02-13
Anthony Cunningham,"and Obrien Cuevas, Rogers",1,1,44625.10,44625.06,61,10,2021-11-15,2021-11-15
Anthony Curtis,Greer-Mendoza,1,1,48827.80,48827.78,39,28,2021-02-08,2021-02-08
Anthony Daniels,"Dixon Smith, Mclean and",2,1,51364.80,25682.38,55,5,2019-09-30,2019-09-30
